feature_id	location	type	function	aliases	protein_md5
fig|1463165.1394.peg.30	CCI165_S85_contig_1_32696-900	CDS	GGDEF domain protein		c3cb2a308b2e3adce708aeb376cbc846
fig|1463165.1394.peg.31	CCI165_S85_contig_1_33969-1029	CDS	Ferric iron ABC transporter, ATP-binding protein		edb2b34d8d83a9a2c5e5fd9a0208ad5f
fig|1463165.1394.peg.32	CCI165_S85_contig_1_35545-1575	CDS	Ferric iron ABC transporter, permease protein		1d42ef683d94c6454238b909224ff6c9
fig|1463165.1394.peg.33	CCI165_S85_contig_1_36583-1017	CDS	Ferric iron ABC transporter, iron-binding protein		1d7432acfe71a90f8f1f9250870eed3c
fig|1463165.1394.peg.34	CCI165_S85_contig_1_36661+120	CDS	hypothetical protein		52bd4f5aec40782be9cac2e28380d80c
fig|1463165.1394.peg.35	CCI165_S85_contig_1_36984+1536	CDS	c-di-GMP phosphodiesterase (EC 3.1.4.52) => PdeG		08dee6e1372139e2b71de0b8af8352a3
fig|1463165.1394.peg.36	CCI165_S85_contig_1_38904-342	CDS	anti-sigma F factor antagonist (spoIIAA-2); anti sigma b factor antagonist RsbV		c1fb780a0e083e2d9339120f16cd04cb
fig|1463165.1394.peg.37	CCI165_S85_contig_1_41395-2427	CDS	Glycogen phosphorylase (EC 2.4.1.1)		f3b7e40f255c011d2dda30c5e2f9b862
fig|1463165.1394.rna.1	CCI165_S85_contig_1_41784-88	rna	tRNA-Ser-TGA		
fig|1463165.1394.peg.38	CCI165_S85_contig_1_43556-1653	CDS	ABC transporter, substrate-binding protein (cluster 5, nickel/peptides/opines)		13bd339d928ff60b9f868c3207825406
fig|1463165.1394.peg.39	CCI165_S85_contig_1_43825+660	CDS	Putative TEGT family carrier/transport protein		1342d65b012d6258ee60438e07c5e765
fig|1463165.1394.peg.40	CCI165_S85_contig_1_44572+330	CDS	tRNA 2-thiouridine synthesis protein TusE		4714325aa5cf98ae23c93f2efe0ad071
fig|1463165.1394.peg.41	CCI165_S85_contig_1_45179-282	CDS	Acylphosphate phosphohydrolase (EC 3.6.1.7)		d7197c52883352feafc8da7c2d866379
fig|1463165.1394.peg.42	CCI165_S85_contig_1_46016-789	CDS	Uncharacterized transcriptional regulator YbcM, AraC family		f76462e65476e6c74dea344df65695ec
fig|1463165.1394.peg.43	CCI165_S85_contig_1_46588-555	CDS	Phospholipid-binding protein		564069abb18480c4f757c72fb7fbdf10
fig|1463165.1394.peg.44	CCI165_S85_contig_1_46779+1203	CDS	23S rRNA (cytosine(1962)-C(5))-methyltransferase (EC 2.1.1.191)		d0d3e44573cd764355a4bac1df67e925
fig|1463165.1394.peg.45	CCI165_S85_contig_1_48041+318	CDS	Heat shock protein HspQ		cb467b9ae47373374d0bde8aecac8109
fig|1463165.1394.peg.46	CCI165_S85_contig_1_48800-414	CDS	Succinyl-CoA synthetase, alpha subunit-related enzymes		4e9f139583e875aa25214dcc06dbe33e
fig|1463165.1394.peg.47	CCI165_S85_contig_1_48940+474	CDS	Methylglyoxal synthase (EC 4.2.3.3)		97cbd440dbdaddc57237b617610ef937
fig|1463165.1394.peg.48	CCI165_S85_contig_1_51479-2055	CDS	DNA helicase IV (EC 3.6.4.12)		cc85ed258c12bdbe94f4940efcc0e57e
fig|1463165.1394.peg.49	CCI165_S85_contig_1_51604+447	CDS	Inner membrane protein YccF		40c47840cfffbba4c5761b36e28ca45d
fig|1463165.1394.peg.50	CCI165_S85_contig_1_52068+2136	CDS	Putative efflux (PET) family inner membrane protein YccS		7b72aa60e272a45f657622bb1f56d003
fig|1463165.1394.peg.51	CCI165_S85_contig_1_54810-597	CDS	DNA transformation protein TfoX		9b8d7dce906154c3858eff3fee4cfd60
fig|1463165.1394.peg.52	CCI165_S85_contig_1_54974-147	CDS	hypothetical protein		8c12d938f11cf98ad36358a7aa373083
fig|1463165.1394.peg.53	CCI165_S85_contig_1_55159+510	CDS	Cell division inhibitor SulA		6d39854ddcb98f4b43347688eda53096
fig|1463165.1394.peg.54	CCI165_S85_contig_1_55997+1095	CDS	Outer membrane protein A precursor		9b334c728471a328e929c056baf25c43
fig|1463165.1394.peg.55	CCI165_S85_contig_1_57740-453	CDS	Putative dehydrogenase		e4596b6b646b42c7d2007eb67aef4eb3
fig|1463165.1394.peg.56	CCI165_S85_contig_1_57926+1758	CDS	Lon protease homolog YcbZ		5c72bc4e404eb21ee58863c90ab967ea
fig|1463165.1394.peg.57	CCI165_S85_contig_1_59753+519	CDS	3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabA form (EC 4.2.1.59) @ Trans-2-decenoyl-[acyl-carrier-protein] isomerase (EC 5.3.3.14)		f25d1d7fb93249a6104c82bd2ddfa411
fig|1463165.1394.peg.58	CCI165_S85_contig_1_60469+204	CDS	hypothetical protein		96b5821594803b38c82fb79abc48451f
fig|1463165.1394.peg.59	CCI165_S85_contig_1_61323-564	CDS	Uncharacterized lipoprotein YmbA		80aef641960792e7033509529f52cc76
fig|1463165.1394.peg.60	CCI165_S85_contig_1_62960-1638	CDS	Paraquat-inducible protein B		17123adbf4ae9938a4ff15aa4eb2db02
fig|1463165.1394.peg.61	CCI165_S85_contig_1_64218-1269	CDS	Paraquat-inducible protein A		f645d8033dc048dc01f52cda23883dcf
fig|1463165.1394.peg.62	CCI165_S85_contig_1_66140-1908	CDS	Bis-ABC ATPase Uup		29c8c3832d936865c2e8dfda26084065
fig|1463165.1394.peg.63	CCI165_S85_contig_1_68258-2106	CDS	23S rRNA (guanine(2445)-N(2))-methyltransferase (EC 2.1.1.173) / 23S rRNA (guanine(2069)-N(7))-methyltransferase (EC 2.1.1.264)		818c44882546ba8d8092bad7358c2565
fig|1463165.1394.peg.64	CCI165_S85_contig_1_68358+1110	CDS	Flavodoxin reductases (ferredoxin-NADPH reductases) family 1		25c17a65cf64e5420c07f39111efb011
fig|1463165.1394.peg.65	CCI165_S85_contig_1_70006-543	CDS	Cell division protein ZapC		3bb459d421ed857cdb13f1d34669ccb8
fig|1463165.1394.peg.66	CCI165_S85_contig_1_71185-1011	CDS	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2)		fac52a988cd2d8e53e6c72258be00944
fig|1463165.1394.peg.67	CCI165_S85_contig_1_71434+576	CDS	FMN reductase (NADPH) (EC 1.5.1.38)		e29ed97c107264bb51e8a976493a7096
fig|1463165.1394.peg.68	CCI165_S85_contig_1_72002+963	CDS	Alkanesulfonate ABC transporter substrate-binding protein SsuA		b71952d860307304bf338fc25627397c
fig|1463165.1394.peg.69	CCI165_S85_contig_1_72961+1146	CDS	FMNH2-dependent alkanesulfonate monooxygenase (EC 1.14.14.5)		6ae07a4f81e34da5582f7cb02cf54f4a
fig|1463165.1394.peg.70	CCI165_S85_contig_1_74117+792	CDS	Alkanesulfonate ABC transporter permease protein SsuC		00c27570fcdc047a77a208e03eb56a63
fig|1463165.1394.peg.71	CCI165_S85_contig_1_74905+774	CDS	Alkanesulfonate ABC transporter ATP-binding protein SsuB		7ec484e4f2bb1712f786c10793736dc9
fig|1463165.1394.peg.72	CCI165_S85_contig_1_78498-2616	CDS	Membrane alanine aminopeptidase N (EC 3.4.11.2)		801aa778aa668f9d2d2327e2db40275d
fig|1463165.1394.peg.73	CCI165_S85_contig_1_78789+1239	CDS	Nicotinate phosphoribosyltransferase (EC 6.3.4.21)		99f10814cb7ae03f56a95b613c82ddb7
fig|1463165.1394.peg.74	CCI165_S85_contig_1_80194+1401	CDS	Asparaginyl-tRNA synthetase (EC 6.1.1.22)		97c6c6428f0035a944d5db40e55464cd
fig|1463165.1394.peg.75	CCI165_S85_contig_1_81869-168	CDS	hypothetical protein		c85a2f36eaeac73218acd532581d26c0
fig|1463165.1394.peg.76	CCI165_S85_contig_1_82186+1083	CDS	Outer membrane porin OmpF		077d4468d2facc46b98ccb52b1dc6a7c
fig|1463165.1394.peg.77	CCI165_S85_contig_1_83441-144	CDS	hypothetical protein		54cd6c05b120e6b73b4d952d20135381
fig|1463165.1394.peg.78	CCI165_S85_contig_1_83456+1191	CDS	Aspartate aminotransferase (EC 2.6.1.1)		9ba9cb90e3b1dd80980d340190530c20
fig|1463165.1394.peg.79	CCI165_S85_contig_1_85360-648	CDS	Hypothetical metal-binding enzyme, YcbL homolog		ba859863b22278959fbc00ed279ee830
fig|1463165.1394.peg.80	CCI165_S85_contig_1_85925-552	CDS	FIG001587: exported protein		abb3a46ba13ef56ab4a1220e69966ad8
fig|1463165.1394.peg.81	CCI165_S85_contig_1_88019-1791	CDS	L,D-transpeptidase YcbB		a01ea650d0bebe14b3eef4c8c4f9a9d2
fig|1463165.1394.peg.82	CCI165_S85_contig_1_92668-4449	CDS	Chromosome partition protein MukB		324dfa1ec5d2f35271ec7545640347fd
fig|1463165.1394.peg.83	CCI165_S85_contig_1_93372-705	CDS	Chromosome partition protein MukE		01402a409f7e3114d1349bee1512b8d2
fig|1463165.1394.peg.84	CCI165_S85_contig_1_94675-1323	CDS	Chromosome partition protein MukF		9b8d7213b03ecddf162bb8a8eeb233b3
fig|1463165.1394.peg.85	CCI165_S85_contig_1_95472-801	CDS	tRNA uridine 5-oxyacetic acid(34) methyltransferase (EC 2.1.1.-)		e72c589f94cc7965f98c7bae7c34e247
fig|1463165.1394.peg.86	CCI165_S85_contig_1_95594+780	CDS	Membrane Protein Functionally coupled to the MukBEF Chromosome Partitioning Mechanism		30594f78fecdc93a45c97132874eeccc
fig|1463165.1394.peg.87	CCI165_S85_contig_1_97243-894	CDS	Uncharacterized protein YcbJ		c2c8f4699b545ddd5e0743d10a9463f0
fig|1463165.1394.peg.88	CCI165_S85_contig_1_98127-747	CDS	3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38)		bbee769c695fa5253d71f465ba7827d8
fig|1463165.1394.peg.89	CCI165_S85_contig_1_98306-183	CDS	FIG002473: Protein YcaR in KDO2-Lipid A biosynthesis cluster		873e342a23f9c6f354a8ab4151ad8907
fig|1463165.1394.peg.90	CCI165_S85_contig_1_99599-1230	CDS	FIG004798: Putative cytoplasmic protein		6a94a66f80c23aa1f986e69798aa4d19
fig|1463165.1394.peg.91	CCI165_S85_contig_1_100634-981	CDS	Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130)		b42ffa42cfe9534b6c67481beac387bd
fig|1463165.1394.peg.92	CCI165_S85_contig_1_102379-1749	CDS	Lipid A export permease/ATP-binding protein MsbA		79d3acbe4b8f079d1fffee4a94985f70
fig|1463165.1394.peg.93	CCI165_S85_contig_1_104680-2265	CDS	DNA internalization-related competence protein ComEC/Rec2		e009b84aedf6ee575545d4f8e1bbee96
fig|1463165.1394.peg.94	CCI165_S85_contig_1_105170-288	CDS	Integration host factor beta subunit		28d28804bf73df539d4206c9781686e5
fig|1463165.1394.peg.95	CCI165_S85_contig_1_106995-1674	CDS	SSU ribosomal protein S1p		877f283f333ac306b47819898d0b461c
fig|1463165.1394.peg.96	CCI165_S85_contig_1_107857-729	CDS	Cytidylate kinase (EC 2.7.4.25)		c48148e046eee177d51da3f47a208de2
fig|1463165.1394.peg.97	CCI165_S85_contig_1_109270-1284	CDS	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19)		ee01eb6eeadbaef7ec81220c5371af06
fig|1463165.1394.peg.98	CCI165_S85_contig_1_110432-1089	CDS	Phosphoserine aminotransferase (EC 2.6.1.52)		b94ec9aff1c63d0a6b572983027ce9dd
fig|1463165.1394.peg.99	CCI165_S85_contig_1_111313-693	CDS	Putative inner membrane protein		3de0f35e5087d67f93ec1e00176d6524
fig|1463165.1394.peg.100	CCI165_S85_contig_1_111429+1761	CDS	Ribosomal protein S12p methylthiotransferase accessory factor YcaO		676a473a5e54c92475deb3dfd89bb040
fig|1463165.1394.peg.101	CCI165_S85_contig_1_113575+858	CDS	Formate efflux transporter FocA		3f6ccb513dc4c58e808fc916f2b452f0
fig|1463165.1394.peg.102	CCI165_S85_contig_1_114484+2283	CDS	Pyruvate formate-lyase (EC 2.3.1.54)		1491779bbb5d1afd2b3839b3163ec761
fig|1463165.1394.peg.103	CCI165_S85_contig_1_116958+741	CDS	Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)		3de71a36803e1768961049c5927fee4b
fig|1463165.1394.peg.104	CCI165_S85_contig_1_119005-1149	CDS	Hypothetical MFS-type transporter protein YcaD		96e82c68afd1417ebf686f1cdbad2509
fig|1463165.1394.peg.105	CCI165_S85_contig_1_119268-147	CDS	hypothetical protein		b79762c25466df211d8a526eacf45670
fig|1463165.1394.peg.106	CCI165_S85_contig_1_120143-864	CDS	Anaerobic dimethyl sulfoxide reductase chain C (EC 1.8.5.3), anchor subunit		71cb324ac6ba66e96a3e3044791d4320
fig|1463165.1394.peg.107	CCI165_S85_contig_1_120675-531	CDS	Anaerobic dimethyl sulfoxide reductase chain B (EC 1.8.5.3), iron-sulfur binding subunit		b8123cfb2f6ccb5df9cd057cbae08c1d
fig|1463165.1394.peg.108	CCI165_S85_contig_1_123211-2439	CDS	Anaerobic dimethyl sulfoxide reductase chain A (EC 1.8.5.3), molybdopterin-binding domain		77d58022005b5b5d7dd29edd68a43526
fig|1463165.1394.peg.109	CCI165_S85_contig_1_124702-1293	CDS	Seryl-tRNA synthetase (EC 6.1.1.11)		ceb33f24dfa6e78fddc0272ce9e67f10
fig|1463165.1394.peg.110	CCI165_S85_contig_1_126137-1344	CDS	Replication-associated recombination protein RarA		07f991d1f5fc99a892a9579f51b07c25
fig|1463165.1394.peg.111	CCI165_S85_contig_1_126757-612	CDS	Outer membrane lipoprotein carrier protein LolA		91b6e217046ca4a4035b61c0315f4e1e
fig|1463165.1394.peg.112	CCI165_S85_contig_1_131145-4266	CDS	DNA translocase FtsK		021d5de9e3ee75c67ec8ce70650d533d
fig|1463165.1394.peg.113	CCI165_S85_contig_1_131775-495	CDS	Leucine-responsive regulatory protein, regulator for leucine (or lrp) regulon and high-affinity branched-chain amino acid transport system		31552388ae2bc68bbd1b4365e3e3d017
fig|1463165.1394.peg.114	CCI165_S85_contig_1_131983+159	CDS	hypothetical protein		84a145eb3f66552cd07ed572eb039093
fig|1463165.1394.peg.115	CCI165_S85_contig_1_132281+996	CDS	Thioredoxin reductase (EC 1.8.1.9)		9878aff41c4d845d6e9a19b5f6167096
fig|1463165.1394.peg.116	CCI165_S85_contig_1_133391+1767	CDS	Efflux ABC transporter for glutathione/L-cysteine, essential for assembly of bd-type respiratory oxidases => CydD subunit		53a37e5b8d227ce51cdee6dacf50ad0b
fig|1463165.1394.peg.117	CCI165_S85_contig_1_135158+1722	CDS	Efflux ABC transporter for glutathione/L-cysteine, essential for assembly of bd-type respiratory oxidases => CydC subunit		7637cbe3c41ccd688a0ea43355d6b9dd
fig|1463165.1394.peg.118	CCI165_S85_contig_1_136919+705	CDS	Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6)		1734004cdc39079cefc98f1478b19562
fig|1463165.1394.peg.119	CCI165_S85_contig_1_137974+219	CDS	Translation initiation factor 1		7685e403ced062aa096db5195bf558e7
fig|1463165.1394.peg.120	CCI165_S85_contig_1_140595-2280	CDS	ATP-dependent Clp protease ATP-binding subunit ClpA		bfa2151265318cc35f1e009ddc2b5b8d
fig|1463165.1394.peg.121	CCI165_S85_contig_1_140943-318	CDS	ATP-dependent Clp protease adaptor protein ClpS		8837373abadb42fbd8a88716f5682ee5
fig|1463165.1394.peg.122	CCI165_S85_contig_1_141269+222	CDS	Cold shock protein of CSP family => CspD (naming convention as in E.coli)		e874032aad41cb58254e862a09982083
fig|1463165.1394.peg.123	CCI165_S85_contig_1_143507-1941	CDS	Macrolide export ATP-binding/permease protein MacB		616ae9e95e1ac5def1040f28eff7cca5
fig|1463165.1394.peg.124	CCI165_S85_contig_1_144619-1116	CDS	Macrolide-specific efflux protein MacA		c1a6197016e20be596770d4324308fee
fig|1463165.1394.peg.125	CCI165_S85_contig_1_146424-1659	CDS	Predicted ATP-dependent endonuclease of the OLD family, YbjD subgroup		a4b2a67d3893b1b1f2d9abcdd2d17b37
fig|1463165.1394.peg.126	CCI165_S85_contig_1_146844+696	CDS	Aquaporin Z		4c3365d3d8e4657eea83710350d32021
fig|1463165.1394.peg.127	CCI165_S85_contig_1_147654+900	CDS	Lysine exporter LysO		3fc0a5e2b36aa3c59fa18008c4485aa7
fig|1463165.1394.peg.128	CCI165_S85_contig_1_148664+1686	CDS	Hydroxylamine reductase (EC 1.7.99.1)		2d1af8f3fea82c87c2d5d1b7edd3adf2
fig|1463165.1394.peg.129	CCI165_S85_contig_1_150360+969	CDS	NADH oxidoreductase for hydroxylamine reductase		7ba86142a0e1bd03a7e35b2813652cae
fig|1463165.1394.peg.130	CCI165_S85_contig_1_151969-435	CDS	putative membrane protein		378efb119086fe34a5fda179e3d27968
fig|1463165.1394.peg.131	CCI165_S85_contig_1_152121+1719	CDS	Pyruvate dehydrogenase (quinone) (EC 1.2.5.1)		b2899096a82c94f54e00f79d0d78f46a
fig|1463165.1394.peg.132	CCI165_S85_contig_1_153878+1002	CDS	Low-specificity L-threonine aldolase (EC 4.1.2.48)		2765a13908782bb3421c09cc28f4f0f1
fig|1463165.1394.peg.133	CCI165_S85_contig_1_154890+1443	CDS	Uncharacterized protein YbjT		89ad7b994584d21fc8d321c053aafad1
fig|1463165.1394.peg.134	CCI165_S85_contig_1_156420+1014	CDS	Uncharacterized NAD(P)-dependent epimerase/dehydratase family protein YbjS		6c3c5422a99af9b0c9d80e3e7e2f08eb
fig|1463165.1394.peg.135	CCI165_S85_contig_1_158260-831	CDS	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) @ 1,6-anhydro-N-acetylmuramyl-L-alanine amidase		8f88e2c756021af8dc111f0d5f8a5423
fig|1463165.1394.peg.136	CCI165_S85_contig_1_159431-1140	CDS	Diguanylate cyclase (EC 2.7.7.65) => DgcY		0a0d903ed3b3dc4a79b825d84e048479
fig|1463165.1394.peg.137	CCI165_S85_contig_1_159792+273	CDS	hypothetical protein		17c7610ce1d0df92a914d88514d65a22
fig|1463165.1394.peg.138	CCI165_S85_contig_1_160114+117	CDS	hypothetical protein		8155f8f0d2266c1062543465429ad1ab
fig|1463165.1394.peg.139	CCI165_S85_contig_1_160315+516	CDS	Uncharacterized lipoprotein YbjP		08a0f06654fc31086ca5854cf13d983b
fig|1463165.1394.peg.140	CCI165_S85_contig_1_161057+729	CDS	Arginine ABC transporter, ATP-binding protein ArtP		8c26b3fc172ebc60e4f14793999aa713
fig|1463165.1394.peg.141	CCI165_S85_contig_1_161785+753	CDS	Arginine ABC transporter, substrate-binding protein ArtI		48156693da19c3b05515dd25a039860b
fig|1463165.1394.peg.142	CCI165_S85_contig_1_162544+717	CDS	Arginine ABC transporter, permease protein ArtQ		9d584be2412f429c6c122a96200d045c
fig|1463165.1394.peg.143	CCI165_S85_contig_1_163260+669	CDS	Arginine ABC transporter, permease protein ArtM		b78da1b054e9136911c2b640f09503b0
fig|1463165.1394.peg.144	CCI165_S85_contig_1_164113+732	CDS	Arginine ABC transporter, substrate-binding protein ArtJ		6b1d338748be0a945ca356cfadec6eac
fig|1463165.1394.peg.145	CCI165_S85_contig_1_166400-1473	CDS	Two-component system sensor histidine kinase		1cc705053e373410a671c1a002c2aec8
fig|1463165.1394.peg.146	CCI165_S85_contig_1_167113-717	CDS	Two-component transcriptional response regulator, OmpR family		726a3dbd53ea70aa350a94edb73847db
fig|1463165.1394.peg.147	CCI165_S85_contig_1_168319-1128	CDS	23S rRNA (uracil(747)-C(5))-methyltransferase (EC 2.1.1.189)		d120d43a99022c5230f94889b4047ca9
fig|1463165.1394.peg.148	CCI165_S85_contig_1_168849-489	CDS	Inner membrane protein YbjO		0375d47b4628928c5dfafaaee5ca88d9
fig|1463165.1394.peg.149	CCI165_S85_contig_1_169752-846	CDS	Putrescine transport system permease protein PotI (TC 3.A.1.11.2)		c0e2b912e76d80e87167a9717b385df8
fig|1463165.1394.peg.150	CCI165_S85_contig_1_170702-954	CDS	Putrescine transport system permease protein PotH (TC 3.A.1.11.2)		ec292063871ab50252369e8c4e9eee3a
fig|1463165.1394.peg.151	CCI165_S85_contig_1_171879-1167	CDS	Putrescine transport ATP-binding protein PotG (TC 3.A.1.11.2)		4b013f0335921766c59b3a268d3ebcdd
fig|1463165.1394.peg.152	CCI165_S85_contig_1_173120-1113	CDS	Putrescine ABC transporter putrescine-binding protein PotF (TC 3.A.1.11.2)		894362cf3fea707835283f3b1f4182b5
fig|1463165.1394.peg.153	CCI165_S85_contig_1_173948-480	CDS	Uncharacterized sensory transduction regulator YbjN		7b8dfb0a6d4e4678d932d54781862244
fig|1463165.1394.peg.154	CCI165_S85_contig_1_174939-903	CDS	Ribosomal protein S6--L-glutamate ligase		ba65e00d357d47aade6021e52a948882
fig|1463165.1394.peg.155	CCI165_S85_contig_1_175776-723	CDS	Oxygen-insensitive NADPH nitroreductase (EC 1.-.-.-)		d6734b8e27f03add99fcd04184ca0c78
fig|1463165.1394.peg.156	CCI165_S85_contig_1_176143-384	CDS	Uncharacterized protein YbjC		64bce80a8620e7e1ed384b3027a9fc13
fig|1463165.1394.peg.157	CCI165_S85_contig_1_176250+264	CDS	Glutaredoxin 1		9f46c8777b3681b76f2e081313e4fc96
fig|1463165.1394.peg.158	CCI165_S85_contig_1_176903-384	CDS	Inner membrane protein YbjM		4392af5caccb961441e02ec006d6e47d
fig|1463165.1394.peg.159	CCI165_S85_contig_1_177171+1686	CDS	Putative transport protein YbjL		a31a4fb73c3f0a110954a2986b37a6d3
fig|1463165.1394.peg.160	CCI165_S85_contig_1_179598-564	CDS	HTH-type transcriptional regulator RcdA		a4212bb38ba080be3a4b05bd42a2c327
fig|1463165.1394.peg.161	CCI165_S85_contig_1_179681+1203	CDS	Inner membrane protein YbjJ		bbdb7267ccf5e8e1eab619056d094cdd
fig|1463165.1394.peg.162	CCI165_S85_contig_1_180883+813	CDS	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI		90355e703bf48eb9d532c47e9654f5ba
fig|1463165.1394.peg.163	CCI165_S85_contig_1_182966-1233	CDS	Multidrug efflux pump MdfA/Cmr (of MFS type), broad spectrum		7c40d017ab33ad03392f5331658ba714
fig|1463165.1394.peg.164	CCI165_S85_contig_1_183293+594	CDS	Undecaprenyl-diphosphatase BcrC (EC 3.6.1.27), conveys bacitracin resistance		38c9351475806fd646e103676b2742ef
fig|1463165.1394.peg.165	CCI165_S85_contig_1_183989+759	CDS	Deoxyribose operon repressor DeoR		85192bdc20cb606249245fc9681eec11
fig|1463165.1394.peg.166	CCI165_S85_contig_1_185998-1212	CDS	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)		9cf532cecdbe10e50a3c986b4767b525
fig|1463165.1394.peg.167	CCI165_S85_contig_1_186245+627	CDS	Uncharacterized glutathione S-transferase-like protein		f66981dcfcc8748326b9e0f65c342f0a
