harmonized_gene_symbol	start	end	contig	#hits>=98	average_identity (>=98)	Other_gene_symbols (>=98)	#hits (all)	average_identity (all)	Other_gene_symbols (all)
acrR	62269.0	62916.0	CCI165_S85_contig_4	2	98.61	['acrR', 'acrR']	2	98.61	['acrR', 'acrR']
blaOKP-B-17	263329.0	264188.0	CCI165_S85_contig_2	6	100.0	['(Bla)blaOKP-B-17', 'OKP-B-17', 'blaOKP-B-17', 'blaOKP-B-17_1', 'blaOKP-B-17', 'blaOKP-B-17']	6	100.0	['(Bla)blaOKP-B-17', 'OKP-B-17', 'blaOKP-B-17', 'blaOKP-B-17_1', 'blaOKP-B-17', 'blaOKP-B-17']
Klebsiella_pneumoniae_KpnE	220754.0	221116.0	CCI165_S85_contig_2	0		[]	1	89.26	['Klebsiella_pneumoniae_KpnE']
Klebsiella_pneumoniae_KpnF	221103.0	221432.0	CCI165_S85_contig_2	0		[]	1	93.03	['Klebsiella_pneumoniae_KpnF']
marA	284303.0	284671.0	CCI165_S85_contig_2	0		[]	1	81.57	['marA']
fosA	127705.0	128124.0	CCI165_S85_contig_13	0		[]	6	94.44000000000001	['(Fcyn)FosA5', 'FosA6', 'fosA9', 'fosA_6', 'fosA', 'fosA']
oqxA	44086.0	45261.0	CCI165_S85_contig_8	0		[]	6	94.21499999999999	['(Flq)OqxA', 'oqxA', 'oqxA10', 'OqxA_1', 'oqxA', 'OqxA']
oqxB	45285.0	48437.0	CCI165_S85_contig_8	1	99.14	['oqxB']	6	96.12333333333333	['(Flq)OqxBgb', 'oqxB', 'oqxB11', 'OqxB_1', 'oqxB', 'OqxB']
Klebsiella_pneumoniae_KpnG	112303.0	113475.0	CCI165_S85_contig_8	0		[]	1	94.63	['Klebsiella_pneumoniae_KpnG']
Klebsiella_pneumoniae_KpnH	113491.0	115029.0	CCI165_S85_contig_8	0		[]	1	84.34	['Klebsiella_pneumoniae_KpnH']
emrR	111647.0	112156.0	CCI165_S85_contig_8	0		[]	1	83.33	['emrR']
oqxR	48509.0	48985.0	CCI165_S85_contig_8	1	98.74	['oqxR']	1	98.74	['oqxR']
sul2	4351.0	5166.0	CCI165_S85_contig_63	6	100.0	['(Sul)sul2', 'sul2', 'sul2', 'sul2_2', 'sul2', 'sul2']	6	100.0	['(Sul)sul2', 'sul2', 'sul2', 'sul2_2', 'sul2', 'sul2']
ArnT	127290.0	128945.0	CCI165_S85_contig_16	0		[]	1	94.63	['ArnT']
CRP	15138.0	15770.0	CCI165_S85_contig_16	0		[]	1	87.36	['CRP']
H-NS	196545.0	196949.0	CCI165_S85_contig_3	0		[]	1	87.16	['H-NS']
Klebsiella_pneumoniae_OmpK37	6858.0	7982.0	CCI165_S85_contig_35	0		[]	1	92.71	['Klebsiella_pneumoniae_OmpK37']
LptD	20752.0	23100.0	CCI165_S85_contig_12	0		[]	1	95.78	['LptD']
MdtQ	100957.0	102396.0	CCI165_S85_contig_19	0		[]	1	92.92	['MdtQ']
mdtB	37630.0	40752.0	CCI165_S85_contig_19	0		[]	1	80.86	['mdtB']
mdtC	40753.0	43830.0	CCI165_S85_contig_19	0		[]	1	81.9	['mdtC']
acrD	104600.0	107713.0	CCI165_S85_contig_15	0		[]	1	80.64	['acrD']
bacA	50473.0	51294.0	CCI165_S85_contig_11	0		[]	1	80.41	['bacA']
cpxA	41061.0	42427.0	CCI165_S85_contig_21	0		[]	1	81.56	['cpxA']
eptB	135724.0	137447.0	CCI165_S85_contig_7	0		[]	1	94.43	['eptB']
emrD	19991.0	21172.0	CCI165_S85_contig_22	1	98.48	['emrD']	1	98.48	['emrD']
