harmonized_gene_symbol	start	end	contig	#hits>=98	average_identity (>=98)	Other_gene_symbols (>=98)	#hits (all)	average_identity (all)	Other_gene_symbols (all)
MdtQ	100957.0	102396.0	CCI165_S85_contig_19_81	2	98.33	['MdtQ', 'MdtQ']	2	98.33	['MdtQ', 'MdtQ']
OKP-B-17	263328.0	264188.0	CCI165_S85_contig_2_258	2	100.0	['OKP-B-17', 'OKP-B-17']	2	100.0	['OKP-B-17', 'OKP-B-17']
OmpA	56021.0	57091.0	CCI165_S85_contig_1_52	2	98.88	['OmpA', 'OmpA']	2	98.88	['OmpA', 'OmpA']
PmrF	131826.0	132809.0	CCI165_S85_contig_16_122	0		[]	1	83.38	['PmrF']
Shigella flexneri acrA	63059.0	64252.0	CCI165_S85_contig_4_65	0		[]	2	84.63	['Shigella flexneri acrA', 'Shigella flexneri acrA']
aadA	451.0	1242.0	CCI165_S85_contig_74_2	2	99.62	['aadA', 'aadA']	2	99.62	['aadA', 'aadA']
acrB	64275.0	67421.0	CCI165_S85_contig_4_66	0		[]	2	66.38	['acrB', 'adeF']
acrD	104600.0	107713.0	CCI165_S85_contig_15_91	0		[]	2	66.52	['acrD', 'adeF']
baeR	46737.0	47459.0	CCI165_S85_contig_19_33	0		[]	2	93.75	['baeR', 'baeR']
dfrA1	1335.0	1808.0	CCI165_S85_contig_74_3	2	100.0	['dfrA1', 'dfrA1']	2	100.0	['dfrA1', 'dfrA1']
emrR	111647.0	112177.0	CCI165_S85_contig_8_114	0		[]	2	92.57	['emrR', 'emrR']
eptB	135774.0	137447.0	CCI165_S85_contig_7_124	2	98.56	['eptB', 'eptB']	2	98.56	['eptB', 'eptB']
leuO	61627.0	62577.0	CCI165_S85_contig_12_51	0		[]	2	82.45	['leuO', 'leuO']
marA	284297.0	284671.0	CCI165_S85_contig_2_279	0		[]	2	92.74	['marA', 'marA']
mdtB	37630.0	40752.0	CCI165_S85_contig_19_29	0		[]	1	90.19	['mdtB']
mdtC	40753.0	43830.0	CCI165_S85_contig_19_30	0		[]	1	91.61	['mdtC']
msbA	100631.0	102379.0	CCI165_S85_contig_1_88	0		[]	2	92.61	['msbA', 'msbA']
oqxA	44086.0	45261.0	CCI165_S85_contig_8_48	0		[]	2	96.93	['oqxA', 'oqxA']
oqxB	45285.0	48437.0	CCI165_S85_contig_8_49	1	98.86	['oqxB']	2	80.0	['oqxB', 'adeF']
qacJ	3.0	287.0	CCI165_S85_contig_74_1	0		[]	2	45.19	['qacJ', 'qacG']
rsmA	122766.0	122951.0	CCI165_S85_contig_8_124	0		[]	2	85.25	['rsmA', 'rsmA']
sul2	4351.0	5166.0	CCI165_S85_contig_63_6	2	100.0	['sul2', 'sul2']	2	100.0	['sul2', 'sul2']
vanG	188121.0	189218.0	CCI165_S85_contig_4_187	0		[]	2	38.94	['vanG', 'vanG']
H-NS	196545.0	196952.0	CCI165_S85_contig_3_188	0		[]	1	94.07	['H-NS']
qacG	143014.0	143343.0	CCI165_S85_contig_13_145	0		[]	1	38.61	['qacG']
